ticker,raw_htm,parsed_txt,section_files,fallback_files,status
AMZN,3,3,9,3,HAS_FALLBACK
AN,3,3,9,3,HAS_FALLBACK
APC,1,1,3,1,HAS_FALLBACK
BBW,3,3,9,1,HAS_FALLBACK
BSET,3,3,9,3,HAS_FALLBACK
CAL,3,3,9,3,HAS_FALLBACK
CASY,3,3,9,3,HAS_FALLBACK
COLM,3,3,6,3,HAS_FALLBACK
CPNG,3,3,9,3,HAS_FALLBACK
CTRN,3,3,9,3,HAS_FALLBACK
DBGI,3,3,9,3,HAS_FALLBACK
DBI,3,3,9,3,HAS_FALLBACK
DLTH,3,3,17,2,HAS_FALLBACK
DXLG,3,3,7,3,HAS_FALLBACK
EBAY,3,3,9,3,HAS_FALLBACK
GIII,3,3,9,3,HAS_FALLBACK
KR,3,3,9,3,HAS_FALLBACK
LAKE,3,3,52,1,HAS_FALLBACK
LEVI,3,3,9,3,HAS_FALLBACK
MNRO,3,3,9,3,HAS_FALLBACK
OLLI,3,3,9,2,HAS_FALLBACK
ORBS,3,3,10,1,HAS_FALLBACK
OXM,3,3,9,3,HAS_FALLBACK
POWW,3,3,22,1,HAS_FALLBACK
RIME,3,3,13,1,HAS_FALLBACK
RL,3,3,9,3,HAS_FALLBACK
RVLV,3,3,6,3,HAS_FALLBACK
SFIX,3,3,50,1,HAS_FALLBACK
SFM,3,3,11,1,HAS_FALLBACK
SHOE,3,3,6,3,HAS_FALLBACK
T,3,3,9,3,HAS_FALLBACK
TLF,3,3,9,3,HAS_FALLBACK
VFC,3,3,9,3,HAS_FALLBACK
VLGEA,3,3,6,3,HAS_FALLBACK
VZ,3,3,6,3,HAS_FALLBACK
WHR,3,3,9,3,HAS_FALLBACK
XOM,3,3,9,3,HAS_FALLBACK
YHGJ,3,3,9,2,HAS_FALLBACK
